avg_loss	tokens
2.546875	186
2.5625	139
2.5625	135
2.578125	143
2.5625	154
2.515625	152
2.453125	137
2.4375	179
2.453125	130
2.4375	125
2.4375	150
2.40625	157
2.40625	152
2.390625	148
2.359375	160
2.3125	190
2.375	142
2.34375	220
2.34375	165
2.296875	116
2.296875	173
2.359375	132
2.359375	177
2.34375	163
2.3125	137
2.265625	187
2.34375	126
2.328125	166
2.3125	145
2.296875	103
2.28125	188
2.328125	167
2.296875	160
2.3125	191
2.3125	215
2.265625	164
2.265625	109
2.3125	152
2.3125	209
2.296875	136
2.328125	150
2.28125	173
2.296875	144
2.296875	177
2.3125	165
2.3125	182
2.328125	165
2.28125	144
2.3125	162
2.3125	170
2.296875	152
2.3125	145
2.328125	144
2.3125	149
2.28125	158
2.3125	180
2.3125	211
2.328125	177
2.328125	135
2.296875	193
2.34375	170
2.296875	137
2.328125	194
2.296875	208
2.28125	134
2.296875	172
2.3125	191
2.296875	170
2.28125	182
2.328125	152
2.328125	185
2.296875	163
2.34375	162
2.3125	147
2.296875	135
2.296875	226
2.3125	130
2.3125	189
2.3125	173
2.28125	122
2.359375	142
2.34375	186
2.296875	164
2.328125	197
2.3125	133
2.3125	149
2.3125	176
2.3125	130
2.3125	168
2.3125	143
2.328125	141
2.296875	174
2.296875	219
2.296875	184
2.328125	143
2.3125	182
2.3125	167
2.3125	175
2.328125	143
2.3125	154
2.296875	175
2.328125	185
2.3125	189
2.328125	135
2.296875	128
2.296875	148
2.328125	173
2.3125	126
2.328125	154
2.328125	183
2.28125	184
2.3125	177
2.3125	133
2.296875	171
2.296875	183
2.296875	178
2.3125	165
2.296875	170
2.3125	189
2.296875	141
2.296875	174
2.296875	135
2.328125	158
2.328125	159
2.328125	128
2.296875	111
2.296875	144
2.3125	146
2.3125	149
2.3125	142
2.296875	182
2.3125	149
2.28125	173
2.328125	179
2.296875	159
2.3125	179
2.296875	155
2.3125	221
2.3125	130
2.3125	207
2.3125	181
2.328125	186
2.296875	160
2.28125	144
2.328125	192
2.3125	187
2.3125	119
2.265625	208
2.328125	167
2.3125	165
