avg_loss	tokens
2.28125	201
2.3125	185
2.3125	196
2.34375	142
2.3125	139
2.28125	178
2.3125	150
2.296875	170
2.3125	165
2.296875	120
2.28125	226
2.328125	108
2.3125	191
2.328125	221
2.296875	155
2.3125	219
2.3125	157
2.34375	152
2.296875	161
2.28125	134
2.296875	167
2.3125	127
2.3125	195
2.28125	181
2.296875	161
2.296875	161
2.28125	152
2.3125	189
2.3125	140
2.28125	116
2.28125	185
2.3125	163
2.296875	160
2.328125	150
2.3125	146
2.28125	132
2.296875	134
2.328125	199
2.328125	144
2.328125	241
2.296875	138
2.28125	212
2.28125	183
2.3125	229
2.328125	149
2.3125	138
2.34375	148
2.3125	152
2.28125	141
2.28125	129
2.296875	122
2.3125	143
2.28125	175
2.3125	113
2.34375	171
2.296875	178
2.3125	163
2.3125	112
2.328125	159
2.296875	138
2.296875	170
2.328125	116
2.28125	122
2.296875	141
2.3125	157
2.28125	150
2.296875	144
2.328125	197
2.296875	213
2.3125	211
2.3125	153
2.296875	191
2.296875	145
2.296875	132
2.296875	175
2.296875	144
2.296875	190
2.296875	134
2.296875	124
2.3125	153
2.28125	144
2.28125	157
2.3125	127
2.296875	160
2.328125	163
2.28125	157
2.296875	173
2.3125	156
2.296875	149
2.296875	128
2.3125	108
2.28125	166
2.3125	170
2.3125	164
2.296875	125
2.3125	155
2.296875	145
2.3125	147
2.28125	151
2.265625	151
2.296875	154
2.28125	179
2.28125	171
2.3125	178
2.296875	149
2.328125	161
2.34375	140
2.3125	169
2.28125	226
2.3125	157
2.3125	191
2.3125	208
2.296875	128
2.328125	169
2.296875	213
2.328125	171
2.3125	200
2.28125	165
2.328125	169
2.296875	160
2.296875	156
2.296875	160
2.296875	134
2.328125	202
2.328125	156
2.34375	164
2.328125	137
2.3125	159
2.3125	162
2.3125	152
2.28125	109
2.3125	153
2.296875	144
2.296875	145
2.296875	146
2.328125	156
2.296875	213
2.3125	151
2.3125	109
2.296875	170
2.296875	162
2.328125	168
2.296875	176
2.34375	207
2.28125	179
2.328125	135
2.296875	146
2.28125	185
2.3125	186
2.328125	154
2.296875	138
2.3125	174
2.296875	161
2.328125	137
2.296875	134
2.28125	165
2.296875	136
2.328125	130
2.328125	133
2.296875	175
2.3125	188
2.3125	150
2.296875	171
2.328125	134
2.328125	144
2.28125	123
2.3125	161
2.296875	205
2.3125	155
2.265625	164
2.296875	154
2.296875	142
2.3125	154
2.328125	194
2.296875	153
2.3125	147
2.28125	152
2.3125	188
2.28125	165
2.34375	148
2.328125	185
2.28125	205
2.296875	152
2.296875	128
2.34375	123
2.328125	175
2.328125	155
2.3125	168
2.3125	132
2.328125	138
2.296875	203
2.296875	171
2.28125	166
2.3125	200
2.34375	168
2.296875	176
2.28125	151
2.296875	184
2.296875	170
2.296875	164
2.25	149
2.328125	110
2.328125	152
2.328125	187
2.296875	144
2.296875	125
2.3125	227
2.296875	157
2.296875	174
2.3125	110
2.28125	169
2.28125	151
2.296875	158
2.296875	170
2.28125	164
2.3125	126
2.296875	145
2.3125	136
2.3125	137
2.296875	145
2.296875	152
2.3125	169
2.296875	192
2.28125	200
2.3125	168
2.296875	132
2.28125	140
2.296875	146
2.328125	175
2.328125	211
2.296875	181
2.296875	149
2.328125	155
2.3125	143
2.296875	157
2.328125	148
2.296875	164
2.3125	183
2.3125	197
2.3125	148
2.296875	162
2.328125	162
2.328125	169
2.28125	151
2.296875	192
2.3125	136
2.28125	166
2.296875	192
2.3125	133
2.296875	117
2.296875	171
2.3125	151
2.328125	175
2.3125	162
2.3125	162
2.296875	171
2.296875	191
2.296875	118
2.3125	165
2.296875	135
2.3125	158
2.3125	138
2.3125	167
2.296875	142
2.328125	132
2.3125	141
2.328125	168
2.296875	184
2.328125	138
2.34375	117
2.34375	120
2.296875	154
2.296875	184
2.296875	164
2.3125	157
2.296875	154
2.28125	164
2.296875	147
2.296875	183
2.3125	166
2.296875	144
2.296875	134
2.3125	149
2.28125	186
2.28125	165
2.296875	177
2.28125	143
2.3125	119
2.296875	101
2.3125	127
2.265625	165
2.3125	173
2.3125	156
2.3125	160
2.3125	176
2.296875	151
2.3125	148
2.28125	195
2.296875	148
2.3125	167
2.296875	127
2.28125	138
2.296875	142
2.28125	183
2.296875	105
2.3125	146
2.328125	179
2.34375	145
2.34375	130
2.296875	170
2.3125	158
2.28125	161
2.3125	161
2.3125	155
2.3125	142
2.328125	121
2.296875	197
2.328125	141
2.3125	110
2.296875	171
2.296875	145
2.28125	170
2.265625	170
2.296875	172
2.296875	167
2.3125	163
2.28125	133
2.296875	170
2.3125	181
2.3125	154
2.3125	146
2.296875	95
2.3125	162
2.3125	184
2.328125	165
2.3125	150
2.3125	168
2.296875	162
2.28125	153
2.3125	153
2.328125	144
2.296875	138
2.296875	164
2.296875	156
2.296875	200
2.3125	130
2.3125	123
2.28125	168
2.296875	198
2.34375	145
2.296875	147
2.3125	148
2.296875	170
2.296875	216
2.296875	164
2.296875	148
2.3125	151
2.28125	178
2.3125	160
2.28125	162
2.296875	111
2.28125	154
2.28125	154
2.3125	156
2.328125	119
2.265625	157
2.3125	148
2.296875	144
2.296875	145
2.296875	123
2.3125	159
2.296875	187
2.296875	182
2.296875	179
2.34375	159
2.328125	149
2.28125	157
2.328125	238
2.3125	173
2.296875	151
2.3125	178
2.296875	148
2.296875	159
2.3125	164
2.296875	149
2.296875	144
2.328125	135
2.296875	195
2.3125	148
2.296875	148
2.328125	144
2.28125	127
2.3125	123
2.28125	207
2.296875	172
2.3125	190
2.328125	162
2.28125	161
2.3125	126
2.3125	222
2.296875	153
2.296875	171
2.296875	152
2.296875	157
2.3125	140
2.28125	193
2.296875	187
2.3125	140
2.296875	177
2.328125	147
2.3125	155
2.3125	154
2.296875	152
2.3125	165
2.296875	125
2.3125	142
2.3125	174
2.328125	137
2.296875	157
2.34375	161
2.296875	161
2.296875	197
2.296875	142
2.328125	170
2.3125	179
2.296875	152
2.28125	184
2.296875	185
2.3125	172
2.28125	211
2.296875	147
2.296875	151
2.3125	109
2.296875	180
2.296875	154
2.296875	149
2.296875	166
2.34375	203
2.296875	125
2.296875	138
2.3125	199
2.3125	170
2.3125	112
2.296875	195
2.3125	176
2.296875	147
2.3125	169
2.28125	154
2.296875	191
2.296875	138
2.3125	167
2.3125	135
2.28125	150
2.3125	164
2.3125	147
2.3125	142
2.28125	105
2.3125	212
2.296875	165
2.296875	131
2.3125	153
2.3125	128
2.28125	170
2.28125	164
2.28125	133
2.3125	209
2.296875	177
2.265625	164
2.3125	172
2.3125	187
2.28125	146
2.296875	170
2.3125	160
2.296875	155
2.3125	166
2.296875	177
2.296875	151
2.296875	171
2.296875	146
2.296875	216
2.296875	225
2.28125	209
2.3125	149
2.3125	184
2.28125	174
2.296875	183
2.296875	177
2.296875	172
2.328125	118
2.328125	203
2.3125	174
2.296875	145
2.296875	159
2.3125	124
2.3125	135
2.3125	136
2.28125	169
2.3125	148
2.296875	152
2.296875	188
2.328125	202
2.328125	193
2.3125	166
2.3125	177
2.328125	169
2.296875	132
2.3125	164
2.296875	225
2.28125	168
2.296875	177
2.3125	166
2.328125	168
2.28125	131
2.328125	138
2.328125	179
2.3125	240
2.328125	187
2.34375	121
2.3125	170
2.328125	140
2.28125	199
2.28125	165
2.296875	172
2.296875	157
2.328125	148
2.28125	180
2.328125	128
2.296875	163
2.296875	158
2.28125	206
2.296875	149
2.328125	122
2.28125	149
2.296875	197
2.3125	149
2.34375	156
2.28125	185
2.28125	206
2.3125	147
2.328125	156
2.3125	172
2.28125	131
2.296875	161
2.296875	213
2.296875	168
2.328125	149
2.296875	190
2.3125	231
2.3125	163
2.3125	162
2.28125	143
2.3125	138
2.3125	165
2.296875	139
2.28125	172
2.296875	135
2.296875	234
2.3125	146
2.28125	207
2.296875	157
2.296875	170
2.3125	132
2.296875	116
2.3125	143
2.3125	150
2.328125	163
2.3125	139
2.296875	145
2.296875	159
2.296875	168
2.296875	157
2.3125	163
2.28125	167
2.296875	179
2.328125	112
2.296875	151
2.296875	154
2.296875	147
2.296875	129
2.3125	164
2.296875	184
2.296875	137
2.328125	171
2.3125	185
2.265625	122
2.296875	127
2.28125	139
2.328125	181
2.296875	170
2.34375	156
2.296875	180
2.28125	185
2.296875	187
2.3125	115
2.3125	168
2.28125	162
2.3125	158
2.296875	197
2.3125	161
2.3125	126
2.296875	147
2.3125	154
2.296875	151
2.3125	151
2.296875	106
2.296875	153
2.328125	141
2.28125	159
2.328125	135
2.265625	177
2.3125	133
2.3125	141
2.3125	150
2.34375	160
2.3125	160
2.3125	139
2.3125	167
2.28125	143
2.28125	205
2.296875	144
2.3125	184
2.28125	164
2.3125	182
2.296875	154
2.296875	151
2.28125	165
2.296875	232
2.28125	150
2.3125	164
2.28125	153
2.296875	143
2.296875	133
2.296875	121
2.3125	162
2.265625	193
2.296875	202
2.296875	171
2.328125	190
2.296875	160
2.28125	164
2.328125	126
2.265625	127
2.3125	171
2.296875	187
2.3125	128
2.28125	159
2.3125	168
2.296875	159
2.28125	147
2.3125	142
2.3125	153
2.3125	155
2.3125	152
2.296875	174
2.296875	167
2.3125	161
2.3125	138
2.3125	192
2.296875	220
2.328125	200
2.3125	146
2.296875	135
2.296875	204
2.296875	157
2.28125	180
2.265625	153
2.296875	158
2.328125	146
2.3125	205
2.28125	122
2.28125	192
2.265625	201
2.3125	193
2.28125	159
2.3125	194
2.296875	142
2.296875	152
2.3125	171
2.3125	165
2.3125	167
2.296875	181
2.3125	160
2.296875	200
2.3125	127
2.3125	107
2.3125	107
2.3125	208
2.296875	183
2.28125	131
2.3125	136
2.3125	179
2.296875	183
2.3125	233
2.3125	97
2.296875	184
2.3125	126
2.3125	132
2.3125	165
2.296875	136
2.296875	176
2.328125	175
2.296875	181
2.3125	147
2.296875	198
2.3125	175
2.3125	140
2.296875	156
2.28125	193
2.296875	165
2.265625	228
2.3125	142
2.296875	139
2.296875	163
2.296875	134
2.3125	135
2.296875	170
2.3125	202
2.296875	189
2.296875	171
2.3125	143
2.3125	154
2.296875	181
2.28125	172
2.3125	163
2.296875	204
2.296875	171
2.3125	172
2.28125	179
2.28125	175
2.3125	184
2.296875	148
2.296875	135
2.296875	114
2.296875	151
2.296875	191
2.296875	170
2.265625	159
2.296875	153
2.296875	196
2.3125	157
2.296875	158
2.296875	152
2.296875	195
2.296875	166
2.3125	201
2.3125	136
2.328125	134
2.296875	144
2.28125	166
2.328125	110
2.3125	206
2.3125	170
2.296875	170
2.296875	183
2.3125	140
2.296875	198
2.3125	117
2.3125	173
2.3125	136
2.28125	133
2.3125	134
2.296875	163
2.3125	207
2.296875	153
2.296875	173
2.3125	149
2.3125	176
2.28125	151
2.296875	139
2.296875	169
2.296875	128
2.3125	129
2.3125	172
2.296875	173
2.296875	191
2.296875	142
2.296875	170
2.3125	170
2.296875	172
2.28125	146
2.296875	108
2.3125	198
2.296875	152
2.28125	193
2.28125	187
2.28125	164
2.296875	161
2.328125	131
2.328125	150
2.296875	212
2.296875	156
2.296875	154
2.3125	206
2.296875	156
2.296875	170
2.3125	146
2.328125	183
2.3125	223
2.265625	191
2.28125	219
2.3125	131
2.3125	122
2.3125	173
2.3125	174
2.328125	227
2.3125	152
2.296875	158
2.3125	160
2.3125	182
2.328125	185
2.296875	153
2.296875	151
2.3125	185
2.296875	134
2.3125	197
2.28125	158
2.328125	135
2.3125	193
2.3125	163
2.296875	172
2.296875	169
2.28125	144
2.3125	145
2.3125	164
2.28125	200
2.28125	183
2.28125	169
2.28125	141
2.296875	128
2.296875	132
2.296875	177
2.296875	174
2.3125	147
2.296875	151
2.296875	148
2.328125	219
2.28125	158
2.296875	228
2.3125	139
2.3125	195
2.296875	170
2.28125	174
2.3125	132
2.3125	173
2.296875	189
2.296875	115
2.28125	129
2.328125	178
2.328125	150
2.3125	155
2.296875	196
2.296875	143
2.296875	164
2.296875	146
2.3125	161
2.28125	180
2.296875	156
2.296875	159
2.3125	153
2.296875	175
2.328125	162
2.265625	180
2.3125	169
2.3125	160
2.296875	202
2.28125	219
2.3125	140
2.296875	155
2.296875	153
2.328125	150
2.3125	133
2.296875	146
2.296875	126
2.296875	153
2.296875	200
2.328125	144
2.28125	199
2.28125	133
2.296875	123
2.28125	158
2.296875	184
2.328125	118
2.3125	154
2.296875	158
2.3125	182
2.3125	215
2.3125	209
2.296875	145
2.28125	155
2.296875	162
2.34375	156
2.296875	143
2.34375	179
2.328125	158
2.28125	164
2.328125	186
2.296875	170
2.3125	139
2.3125	173
2.296875	164
2.28125	127
2.296875	197
2.296875	149
2.296875	142
2.296875	169
2.296875	159
2.296875	153
2.296875	166
2.3125	123
2.3125	143
2.328125	186
2.3125	115
2.328125	212
2.3125	177
2.328125	163
2.3125	137
2.28125	165
2.296875	165
2.296875	157
2.28125	207
2.28125	156
2.328125	116
2.296875	135
2.296875	168
2.3125	110
2.3125	142
2.3125	126
2.3125	185
2.28125	129
2.3125	122
2.28125	125
2.296875	119
2.3125	150
2.296875	161
2.3125	162
2.296875	135
2.296875	158
2.296875	155
2.296875	146
2.3125	181
2.296875	144
2.328125	181
2.296875	211
2.296875	128
2.296875	183
2.296875	158
2.3125	166
2.296875	176
2.3125	178
2.28125	147
2.28125	157
2.328125	142
2.265625	150
2.296875	138
2.28125	174
2.296875	158
2.296875	183
2.328125	156
2.28125	150
2.28125	185
2.296875	147
2.3125	150
2.296875	157
2.265625	130
2.296875	120
2.3125	157
2.265625	157
2.296875	161
2.296875	148
2.296875	160
2.3125	168
2.3125	143
2.28125	136
2.328125	134
2.296875	152
2.28125	186
2.3125	187
2.3125	132
2.296875	158
2.296875	138
2.296875	134
2.328125	174
2.296875	185
2.296875	184
2.3125	142
2.328125	141
2.3125	152
2.28125	159
2.328125	180
2.28125	154
2.328125	183
2.328125	109
2.3125	164
2.3125	150
2.296875	177
2.3125	147
2.3125	187
2.3125	140
2.296875	162
2.296875	152
2.296875	174
2.296875	183
2.296875	166
2.3125	191
2.328125	198
2.296875	170
2.3125	182
2.3125	127
2.3125	150
2.28125	156
2.328125	188
2.296875	151
2.3125	153
2.3125	165
2.3125	167
2.296875	151
2.296875	186
2.296875	140
2.3125	115
2.296875	142
2.296875	157
2.296875	154
2.296875	186
2.28125	128
2.328125	180
2.296875	124
2.28125	160
2.3125	160
2.328125	154
2.296875	181
2.3125	120
2.296875	198
2.296875	204
2.296875	129
2.296875	183
2.3125	156
2.265625	153
2.296875	178
2.296875	158
2.28125	131
2.28125	151
2.328125	150
2.34375	121
2.3125	180
2.296875	162
2.296875	178
2.3125	179
2.265625	162
2.296875	134
2.296875	148
2.3125	176
2.296875	170
2.296875	176
2.28125	172
2.296875	175
2.296875	146
2.3125	204
2.296875	142
2.28125	189
2.296875	157
2.3125	141
2.328125	128
2.296875	154
2.296875	144
2.3125	155
2.328125	124
2.296875	168
2.28125	181
2.296875	196
2.3125	168
2.296875	151
2.296875	131
2.296875	136
2.296875	133
2.265625	165
2.28125	160
2.3125	150
2.296875	124
2.3125	179
2.328125	138
2.3125	132
2.265625	150
2.28125	146
2.296875	175
2.28125	180
2.3125	129
2.296875	163
2.328125	113
2.296875	167
2.296875	167
2.296875	215
2.3125	217
2.3125	139
2.328125	144
2.296875	133
2.3125	130
2.296875	126
2.3125	221
2.3125	136
2.296875	173
2.28125	126
2.3125	187
2.3125	145
2.28125	181
2.3125	161
2.296875	151
2.3125	181
2.3125	149
2.296875	144
2.28125	175
2.3125	153
2.28125	130
2.296875	142
2.28125	153
2.296875	185
2.296875	119
2.265625	152
2.296875	161
2.296875	136
2.328125	148
2.28125	144
2.28125	141
2.3125	153
2.3125	148
2.3125	167
2.328125	140
2.28125	129
2.3125	146
2.3125	161
2.3125	202
2.296875	184
2.296875	169
2.296875	168
2.328125	132
2.3125	150
2.296875	197
2.296875	167
2.296875	102
2.3125	120
2.3125	217
2.296875	182
2.28125	164
2.296875	144
2.296875	179
2.28125	180
2.3125	189
2.296875	180
2.28125	173
2.296875	141
2.296875	180
2.328125	212
2.296875	134
2.3125	181
2.296875	133
2.28125	169
2.296875	171
2.296875	148
2.28125	148
2.296875	190
2.3125	168
2.328125	155
2.296875	159
2.3125	226
2.3125	133
2.296875	159
2.3125	180
2.296875	141
2.296875	162
2.296875	158
2.34375	126
2.296875	164
2.3125	187
2.3125	132
2.296875	136
2.328125	160
2.3125	172
2.28125	166
2.3125	116
2.3125	141
2.328125	140
2.296875	101
2.296875	160
2.3125	146
2.3125	118
2.28125	172
2.3125	117
2.265625	141
2.28125	160
2.3125	130
2.265625	173
2.296875	158
2.328125	150
2.328125	156
2.296875	153
2.3125	166
2.28125	176
2.3125	200
2.28125	198
2.28125	192
2.28125	183
2.3125	155
2.3125	132
2.296875	185
2.296875	135
2.296875	166
2.328125	167
2.3125	179
2.3125	147
2.296875	172
2.28125	180
2.3125	127
2.3125	133
2.296875	164
2.3125	208
2.328125	163
2.28125	157
2.3125	139
2.296875	240
2.296875	236
2.3125	159
2.296875	156
2.296875	170
2.328125	138
2.3125	165
2.3125	221
2.296875	145
2.3125	130
2.28125	165
2.296875	198
2.296875	138
2.296875	199
2.3125	136
2.28125	182
2.3125	176
2.296875	135
2.34375	167
2.3125	139
2.28125	174
2.296875	195
2.28125	171
2.3125	138
2.3125	195
2.3125	156
2.28125	135
2.3125	169
2.296875	144
2.296875	128
2.296875	172
2.296875	189
2.28125	188
2.3125	194
2.3125	201
2.3125	143
2.3125	126
2.296875	126
2.28125	171
2.328125	137
2.3125	126
2.296875	172
2.296875	148
2.3125	147
2.296875	172
2.34375	127
2.296875	161
2.28125	164
2.296875	210
2.296875	183
2.296875	137
2.296875	193
2.296875	184
2.28125	169
2.3125	176
2.28125	175
2.296875	153
2.296875	137
2.296875	168
2.3125	146
2.3125	148
2.328125	155
2.328125	162
2.296875	152
2.28125	160
2.296875	142
2.328125	191
2.328125	167
2.296875	139
2.28125	179
2.3125	148
2.296875	148
2.3125	146
2.296875	128
2.328125	155
2.296875	185
2.28125	173
2.265625	159
2.296875	178
2.28125	117
2.296875	167
2.3125	162
2.3125	173
2.296875	190
2.328125	205
2.34375	177
2.296875	195
2.28125	150
2.296875	131
2.296875	160
2.296875	169
2.3125	163
2.3125	145
2.328125	141
2.28125	171
2.328125	176
2.3125	148
2.3125	186
2.296875	184
2.296875	156
2.296875	128
2.3125	173
2.296875	159
2.28125	140
2.28125	162
2.296875	176
2.296875	147
2.28125	178
2.296875	194
2.328125	129
2.265625	162
2.28125	203
2.296875	177
2.3125	149
2.3125	202
2.328125	113
2.3125	139
2.3125	146
2.3125	133
2.296875	175
2.28125	160
2.328125	150
2.3125	171
2.296875	145
2.296875	197
2.296875	144
2.296875	216
2.28125	143
2.296875	180
2.296875	209
2.3125	184
2.296875	162
2.28125	172
2.328125	193
2.296875	151
2.296875	145
2.3125	154
2.265625	172
2.296875	125
2.3125	148
2.296875	139
2.296875	176
2.28125	169
2.3125	138
2.28125	188
2.328125	131
2.328125	162
2.296875	141
2.296875	129
2.28125	126
2.28125	154
2.296875	176
2.3125	208
2.328125	126
2.3125	152
2.296875	190
2.3125	140
2.328125	186
2.296875	165
2.296875	118
2.3125	150
2.296875	137
2.296875	166
2.296875	165
2.3125	193
2.296875	151
2.3125	182
2.265625	168
2.296875	134
2.296875	201
2.3125	161
2.296875	163
2.328125	138
2.3125	163
2.3125	137
2.296875	154
2.296875	145
2.28125	159
2.265625	194
2.3125	150
2.3125	123
2.296875	183
2.328125	154
2.3125	196
2.328125	159
2.328125	148
2.265625	172
2.328125	169
2.3125	161
2.296875	145
2.3125	150
2.3125	181
2.328125	144
2.296875	182
2.296875	132
2.296875	131
2.265625	171
2.296875	142
2.3125	164
2.28125	172
2.265625	150
2.3125	161
2.296875	203
2.296875	114
2.296875	107
2.296875	137
2.3125	167
2.28125	185
2.296875	198
2.265625	156
2.3125	176
2.3125	115
2.296875	175
2.265625	160
2.28125	161
2.296875	146
2.28125	120
2.296875	218
2.296875	138
2.296875	138
2.296875	178
2.3125	169
2.3125	184
2.28125	139
2.328125	179
2.296875	135
2.25	164
2.3125	172
2.296875	160
2.296875	158
2.296875	152
2.328125	167
2.3125	146
2.296875	154
2.328125	168
2.3125	129
2.296875	156
2.296875	149
2.296875	184
2.3125	160
2.328125	153
2.328125	156
2.28125	126
2.328125	156
2.3125	221
2.296875	145
2.296875	147
2.3125	157
2.3125	117
2.328125	187
2.3125	200
2.28125	137
2.3125	176
2.328125	168
2.34375	102
2.3125	135
2.3125	193
2.3125	140
2.34375	157
2.296875	145
2.3125	205
2.265625	166
2.28125	190
2.3125	168
2.28125	146
2.296875	143
2.3125	131
2.296875	127
2.296875	130
2.296875	141
2.296875	191
2.28125	193
2.3125	173
2.296875	154
2.3125	139
2.28125	144
2.3125	179
2.3125	214
2.296875	178
2.3125	149
2.3125	162
2.28125	188
2.296875	152
2.328125	194
2.296875	165
2.28125	151
2.28125	173
2.3125	166
2.296875	157
2.25	165
2.328125	134
2.296875	194
2.3125	171
2.3125	158
2.328125	144
2.34375	174
2.3125	210
2.3125	197
2.3125	177
2.296875	135
2.28125	196
2.296875	134
2.3125	121
2.296875	109
2.28125	158
2.3125	196
2.28125	194
2.3125	117
2.3125	152
2.296875	216
2.28125	156
2.265625	171
2.296875	131
2.296875	184
2.296875	174
2.3125	207
2.28125	127
2.296875	224
2.296875	204
2.328125	169
2.296875	174
2.296875	119
2.296875	157
2.296875	141
2.28125	120
2.296875	154
2.296875	183
2.28125	191
2.28125	120
2.328125	161
2.28125	144
2.296875	166
2.296875	124
2.28125	190
2.296875	165
2.296875	135
2.28125	185
2.296875	193
2.296875	134
2.296875	133
2.3125	120
2.296875	170
2.28125	181
2.296875	153
2.296875	165
2.296875	128
2.3125	140
2.265625	165
2.296875	147
2.3125	147
2.296875	158
2.3125	190
2.265625	158
2.328125	153
2.3125	161
2.328125	220
2.296875	155
2.28125	170
2.34375	150
2.296875	148
2.265625	131
2.328125	135
2.3125	164
2.28125	213
2.3125	119
2.3125	137
2.328125	163
2.3125	189
2.3125	159
2.296875	133
2.296875	171
2.3125	167
2.328125	185
2.34375	159
2.28125	165
2.296875	142
2.28125	170
2.296875	156
2.296875	161
2.3125	173
2.3125	148
2.28125	167
2.296875	154
2.296875	152
2.296875	151
2.328125	185
2.3125	163
2.296875	134
2.296875	182
2.265625	102
2.328125	166
2.28125	153
2.28125	164
2.28125	116
2.34375	139
2.296875	151
2.328125	140
2.265625	135
2.3125	147
2.296875	177
2.28125	167
2.296875	158
2.3125	138
2.28125	98
2.296875	119
2.3125	173
2.328125	164
2.3125	127
2.296875	184
2.296875	160
2.296875	123
2.296875	136
2.3125	161
2.328125	193
2.296875	154
2.296875	142
2.296875	157
2.328125	137
2.28125	143
2.3125	187
2.3125	161
2.3125	179
2.328125	110
2.296875	170
2.296875	178
2.296875	165
2.328125	253
2.3125	255
2.328125	155
2.296875	211
2.28125	153
2.328125	174
2.296875	174
2.28125	222
2.328125	207
2.28125	143
2.296875	141
2.296875	164
2.3125	119
2.296875	175
2.3125	139
2.28125	150
2.28125	143
2.296875	143
2.296875	138
2.28125	134
2.3125	175
2.296875	144
2.3125	128
2.28125	208
2.3125	165
2.34375	150
2.296875	129
2.3125	171
2.296875	144
2.296875	164
2.328125	148
2.296875	175
2.296875	134
2.296875	149
2.28125	164
2.296875	180
2.296875	173
2.328125	176
2.296875	131
2.3125	142
2.3125	226
2.28125	214
2.328125	141
2.296875	191
2.296875	173
2.296875	157
2.34375	145
2.3125	132
2.28125	165
2.28125	157
2.3125	200
2.328125	144
2.3125	154
2.28125	165
2.296875	173
2.296875	169
2.296875	153
2.296875	132
2.3125	136
2.296875	160
2.28125	158
2.28125	164
2.34375	166
2.328125	167
2.328125	112
2.296875	173
2.296875	147
2.28125	184
2.28125	157
2.3125	130
2.3125	192
2.296875	161
2.3125	157
2.28125	157
2.3125	110
2.296875	161
2.3125	240
2.28125	141
2.3125	179
2.3125	189
2.3125	182
2.296875	139
2.328125	227
2.296875	133
2.296875	132
2.3125	207
2.28125	133
2.296875	145
2.3125	138
2.296875	145
2.296875	165
2.296875	178
2.296875	144
2.296875	146
2.296875	113
2.296875	132
2.296875	177
2.28125	164
2.3125	149
2.296875	174
2.28125	155
2.3125	180
2.3125	172
2.3125	135
2.3125	163
2.328125	174
2.328125	173
2.3125	127
2.296875	163
2.28125	173
2.3125	143
2.28125	162
2.296875	139
2.296875	168
2.296875	152
2.328125	155
2.3125	127
2.3125	135
2.3125	142
2.328125	218
2.28125	132
2.3125	127
2.3125	176
2.3125	181
2.296875	153
2.265625	201
2.28125	166
2.28125	152
2.296875	152
2.328125	178
2.296875	181
2.28125	219
2.328125	169
2.3125	127
2.3125	187
2.328125	177
2.3125	179
2.328125	192
2.3125	213
2.296875	168
2.3125	151
2.296875	175
2.3125	152
2.328125	181
2.28125	154
2.28125	192
2.296875	148
2.296875	187
2.3125	137
2.3125	223
2.296875	198
2.296875	185
2.3125	137
2.3125	155
2.296875	225
2.28125	164
2.3125	202
2.28125	122
2.296875	199
2.3125	179
2.265625	156
2.3125	174
2.328125	127
2.3125	181
2.3125	136
2.328125	123
2.296875	164
2.3125	127
2.28125	249
2.3125	158
2.28125	156
2.296875	148
2.328125	156
2.28125	172
2.296875	155
2.296875	205
2.3125	130
2.3125	178
2.296875	148
2.28125	171
2.296875	158
2.296875	204
2.296875	134
2.28125	178
2.28125	187
2.296875	153
2.28125	136
2.296875	138
2.296875	188
2.3125	182
2.328125	131
2.328125	116
2.296875	184
2.328125	153
2.296875	177
2.28125	151
2.296875	179
2.296875	134
2.296875	165
2.296875	177
2.296875	166
2.3125	179
2.328125	165
2.28125	133
