step	rho	rho_pval	ce
100	0.9835114932237193	0.0	2.308692616675605
200	0.9895359817927324	0.0	2.3068389229698774
300	0.9777132958780961	0.0	2.3026716789643986
400	0.9921049761336013	0.0	2.3037159976514356
500	0.9848871412396636	0.0	2.3008394485558723
600	0.9791566157770556	0.0	2.3016182640759357
700	0.9906930116959105	0.0	2.3011823317377185
800	0.9833604512445069	0.0	2.3042357271877236
900	0.9820873718777099	0.0	2.3031696959924877
1000	0.9842042737158356	0.0	2.3023370508968606
1100	0.9835621684176801	0.0	2.303313926857569
1200	0.9861847683707654	0.0	2.3020277177456174
1300	0.9817368855021297	0.0	2.303728395898585
1400	0.9814047402950613	0.0	2.301531974767885
1500	0.9809712601151886	0.0	2.302314092333672
1600	0.9762402947540019	0.0	2.304666239186735
1700	0.9832144501685772	0.0	2.2998033849831434
1800	0.9814349152174643	0.0	2.302083042587169
1900	0.9808375523099736	0.0	2.3040954213958607
2000	0.9804303472096907	0.0	2.299589312735878
2100	0.9850498636479341	0.0	2.3002222152166243
2200	0.9833293443805442	0.0	2.3025881621287003
2300	0.9828490458287833	0.0	2.3036184003943516
2400	0.9889979507515035	0.0	2.299556043067648
2500	0.9907095240938686	0.0	2.300712101735904
2600	0.9785406467193936	0.0	2.301913859470915
2700	0.9824087520816578	0.0	2.3011034876082324
2800	0.9928254968199833	0.0	2.3011677528943366
2900	0.9869548998068014	0.0	2.3018367286670403
3000	0.9879413193671511	0.0	2.3025206882509974
3100	0.9779622154302648	0.0	2.3023839337158556
3200	0.9795565062948622	0.0	2.300459277178453
3300	0.9845228716768443	0.0	2.3009386033816934
3400	0.9775397804430829	0.0	2.300084744199863
3500	0.9819122566878894	0.0	2.3008481397894265
3600	0.9861571455953507	0.0	2.301452725670527
3700	0.9888139933712257	0.0	2.3009567646331712
3800	0.9817165889840733	0.0	2.3022347809335644
3900	0.9810301105867537	0.0	2.3030879236337753
4000	0.9788708460334405	0.0	2.2981547919287535
4100	0.9872862523634396	0.0	2.302158335459934
4200	0.9897425652617694	0.0	2.302814912985488
4300	0.9898980021318404	0.0	2.300936235877213
4400	0.9853595232742206	0.0	2.3013557825923128
4500	0.9815823628286009	0.0	2.3019223326448466
4600	0.9838403046538009	0.0	2.303130912530927
4700	0.9806560348224156	0.0	2.30008085027802
4800	0.9866060782130505	0.0	2.3027212096502474
4900	0.9837427911851212	0.0	2.3031136546693167
5000	0.9910697353889558	0.0	2.302150423010748
5100	0.9937384830468482	0.0	2.3023685449367304
5200	0.9861214526797497	0.0	2.301203234310174
5300	0.9921437286713344	0.0	2.301682903178537
5400	0.9830489518784223	0.0	2.3019538578360907
5500	0.9787886037002635	0.0	2.303914369605828
5600	0.9873934352572851	0.0	2.299765224549078
5700	0.9765097577494111	0.0	2.3029629131669136
5800	0.9854416043215521	0.0	2.3032611564287464
5900	0.9884484987896949	0.0	2.299200138611157
6000	0.9804173897962115	0.0	2.300018859042272
6100	0.9806463940443039	0.0	2.300907701217944
6200	0.9886705287201719	0.0	2.303471770873415
6300	0.9786312848463846	0.0	2.3013845976139544
6400	0.9847094128510596	0.0	2.300370402306298
6500	0.9821725150637307	0.0	2.3009406905238015
6600	0.987764213045028	0.0	2.3018953867056897
6700	0.9877253378176026	0.0	2.3039048061337803
6800	0.9863257351732259	0.0	2.2994639907552687
6900	0.9891246721702912	0.0	2.298523063481019
7000	0.979935325817737	0.0	2.3012448525468367
7100	0.9855040723269378	0.0	2.304248935370617
7200	0.9829218225483396	0.0	2.301142426826667
7300	0.9789666588582527	0.0	2.3022978936188028
7400	0.9857714648113789	0.0	2.3022537521207855
7500	0.9804488837314825	0.0	2.3010601248945837
7600	0.9866763570285229	0.0	2.301085637870502
7700	0.9866257078481564	0.0	2.3009434318447792
7800	0.9857939290899952	0.0	2.301940369290825
7900	0.977622169370629	0.0	2.2998918548874263
8000	0.9833074762974655	0.0	2.3004256959964753
8100	0.9837464157394121	0.0	2.3001948643095957
8200	0.9816254734869752	0.0	2.302290946862234
8300	0.9804705967123561	0.0	2.301801839127323
8400	0.9874759685537399	0.0	2.302584673174729
